id,lemma,pos,count
8068,вузел,NOUN,5
8069,віфлеем,PROPN,5
8070,сальцца,VERB,5
8071,размінуцца,VERB,5
8072,рассяваць,VERB,5
8073,канюх,NOUN,5
8074,наўздагон,NOUN,5
8075,змова,NOUN,5
8076,аблак,NOUN,5
8077,уд,NOUN,5
8078,дзядуля,NOUN,5
8079,гібеці,VERB,5
8080,ажна,ADV,5
8081,погань,NOUN,5
8082,п,NOUN,5
8083,балбатня,NOUN,5
8084,модл,NOUN,5
8085,гак,NOUN,5
8086,імша,NOUN,5
8087,успыхнуць,VERB,5
8088,аглядацца,VERB,5
8089,прыстанне,NOUN,5
8090,баба,SCONJ,5
8091,пазнаці,VERB,5
8092,смуглы,ADJ,5
8093,незабыўны,ADJ,5
8094,чэрў,VERB,5
8095,гарадок,NOUN,5
8096,гуллівы,ADJ,5
8097,бы,PROPN,5
8098,занятак,NOUN,5
8099,ўрачыста,ADV,5
8100,пуста,PART,5
8101,адзець,NOUN,5
8102,імгл,VERB,5
8103,палаца,NOUN,5
8104,яснейшы,ADJ,5
8105,барв,NOUN,5
8106,мата,ADV,5
8107,спаўзаць,VERB,5
8108,падлічыць,VERB,5
8109,нішто,PART,5
8110,схібіць,VERB,5
8111,сябар,PROPN,5
8112,па-твойму,ADV,5
8113,дробна,ADV,5
8114,човена,NOUN,5
8115,пажывіцца,VERB,5
8116,шынка,NOUN,5
8117,туманіцца,VERB,5
8118,пеўня,NOUN,5
8119,зніштожыць,VERB,5
8120,завіць,VERB,5
8121,пятрусь,VERB,5
8122,сытасць,NOUN,5
8123,зораць,VERB,5
8124,адспяваць,VERB,5
8125,нябачаны,ADJ,5
8126,гібка,NOUN,5
8127,зардзець,VERB,5
8128,спужаць,VERB,5
8129,абмінаць,VERB,5
8130,бесканечны,ADJ,5
8131,кошка,NOUN,5
8132,панаваці,VERB,5
8133,падць,VERB,5
8134,гэй,VERB,5
8135,зусюль,ADV,5
8136,мудра,NOUN,5
8137,паспяваць,VERB,5
8138,прыпас,NOUN,5
8139,выканаць,VERB,5
8140,зубіць,VERB,5
8141,марусь,PROPN,5
8142,фрыец,NOUN,5
8143,спытацца,VERB,5
8144,насып,PROPN,5
8145,вострыць,VERB,5
8146,гойдаць,VERB,5
8147,прагавіты,ADJ,5
8148,звяр’ё,PRON,5
8149,цемрашал,NOUN,5
8150,кран,VERB,5
8151,руды,ADJ,5
8152,цалы,ADJ,5
8153,салаўе,NOUN,5
8154,вар’яцкі,ADJ,5
8155,праталіна,NOUN,5
8156,ўволя,NOUN,5
8157,скамянець,VERB,5
8158,бярозка,ADV,5
8159,сесці,PROPN,5
8160,афіцэр,NOUN,5
8161,рукапіс,NOUN,5
8162,ўцеха,NOUN,5
8163,пакланцца,VERB,5
8164,потны,ADJ,5
8165,пакурыць,VERB,5
8166,расстраляць,VERB,5
8167,неабходны,ADJ,5
8168,бразджыць,VERB,5
8169,шчасцць,VERB,5
8170,прапусціць,VERB,5
8171,раптоўны,ADJ,5
8172,пчаліна,NOUN,5
8173,мчацца,VERB,5
8174,золка,ADJ,5
8175,грашыць,VERB,5
8176,унізе,ADV,5
8177,пылінка,NOUN,5
8178,прут,NOUN,5
8179,ляды,NOUN,5
8180,проня,PROPN,5
8181,разыходзіцца,VERB,5
8182,прыпол,NOUN,5
8183,звадзіць,VERB,5
8184,злёгка,NOUN,5
8185,наўрад,ADV,5
8186,уць,VERB,5
8187,гуліца,NOUN,5
8188,родненькі,ADJ,5
8189,ліман,PROPN,5
8190,направа,ADV,5
8191,завеяць,VERB,5
8192,паланянка,NOUN,5
8193,раўнадушша,NOUN,5
8194,жніва,NOUN,5
8195,адгукніся,VERB,5
8196,кáт,NOUN,5
8197,вартаўнік,NOUN,5
8198,прыгожы,NOUN,5
8199,залаты,ADV,5
8200,рэчка,ADJ,5
8201,славянін,NOUN,5
8202,жоўценькі,ADJ,5
8203,глянь,PROPN,5
8204,грамада,ADV,5
8205,рэць,VERB,5
8206,ўвайсці,VERB,5
8207,гуслі,NOUN,5
8208,змятаць,VERB,5
8209,каўбаса,NOUN,5
8210,ніводзін,DET,5
8211,швэд,NOUN,5
8212,рагатаць,VERB,5
8213,боязна,ADV,5
8214,вайна,ADJ,5
8215,лоба,NOUN,5
8216,сметнік,NOUN,5
