id,name,count
40,Якуб Колас,788
47,Янка Купала,783
38,Уладзімір Караткевіч,320
59,Пімен Панчанка,292
21,Алесь Гарун,159
41,Кандрат Крапіва,150
20,Цішка Гартны,77
46,Аркадзь Куляшоў,57
3,Францішак Багушэвіч,36
85,Тарас Шаўчэнка,35
10,Канстанцыя Буйло,23
50,Максім Лужанін,22
2,Максім Багдановіч,21
72,Максім Танк,21
9,Пятрусь Броўка,18
62,Аляксей Пысін,18
24,Пятро Глебка,17
81,Міхась Чарот,14
28,Ніл Гілевіч,12
37,Марыя Канапніцкая,11
70,Уладзіслаў Сыракомля,11
6,Рыгор Барадулін,10
30,Уладзімір Дубоўка,9
55,Адам Міцкевіч,9
7,Ян Баршчэўскі,8
12,Данута Бічэль-Загнетава,8
88,Яўгенія Янішчыц,8
16,Васіль Вітка,7
26,Анатоль Грачанікаў,7
18,Уладзіслаў Галубок,6
25,Сяргей Грахоўскі,6
56,Невядомы,6
61,Язэп Пушча,6
84,Марк Шагал,6
34,Васіль Зуёнак,5
49,Еўдакія Лось,5
53,Ніна Мацяш,5
57,Мікалай Някрасаў,5
15,Анатоль Вярцінскі,4
33,Алесь Звонак,4
80,Цётка,4
5,Раіса Баравікова,3
64,Алесь Разанаў,3
82,Ян Чачот,3
17,Леанід Галубовіч,2
19,Сяргей Гарадзецкі,2
22,Ларыса Геніюш,2
43,Юзаф Крашэўскі,2
48,Алег Лойка,2
51,Янка Лучына,2
68,Юрась Свірка,2
71,Янка Сіпакоў,2
83,Грыцька Чупрынка,2
1,М. Ісакоўскі,1
4,Кароль Балінскі,1
8,Алесь Бачыла,1
13,Зоська Верас,1
14,Анатоль Вялюгін,1
23,Герман Гесэ,1
27,Мікола Гусоўскі,1
31,Янка Журба,1
32,Уладзімір Жылка,1
35,Аляксей Кальцоў,1
36,Кастусь Каліноўскі,1
39,Ян Каспровіч,1
42,М. Красільнікаў,1
44,Іван Крылоў,1
45,Раіса Кудашава,1
58,Валяр'ян Паляшчук,1
63,Іда Пілецкая,1
65,Адам Русак,1
66,Аляксей Русецкі,1
67,Максім Рыльскі,1
74,Паўло Тычына,1
75,Карнель Уейскі,1
76,Георг Хэрвег,1
78,Дзмітрый Цэнзар,1
79,Фёдар Цютчаў,1
86,Піліп Шкулёў,1
87,Л. Явалкоўская-Кашуцкая,1
89,Яскулка,1
