id,lemma,pos,count
0,і,CCONJ,19404
1,у,ADP,14978
2,не,PART,10595
3,на,ADP,9032
4,з,ADP,8525
5,я,PRON,7872
6,а,CCONJ,5228
7,ты,PRON,5136
8,мы,PRON,4095
9,ён,PRON,4005
10,як,ADV,3459
11,быць,AUX,3334
12,за,ADP,3198
13,як,SCONJ,3196
14,што,PRON,3192
15,свой,DET,2617
16,што,SCONJ,2518
17,да,ADP,2514
18,ж,PART,2360
19,той,DET,2194
20,вы,PRON,2018
21,яны,PRON,2017
22,мой,DET,2006
23,наш,DET,1956
24,ад,ADP,1896
25,ды,CCONJ,1887
26,дзе,ADV,1878
27,каб,SCONJ,1850
28,па,ADP,1834
29,так,ADV,1764
30,яна,PRON,1759
31,чалавек,NOUN,1628
32,увесь,DET,1579
33,над,ADP,1501
34,свет,NOUN,1479
35,сэрца,NOUN,1417
36,хто,PRON,1408
37,зямля,NOUN,1390
38,толькі,PART,1376
39,пад,ADP,1365
40,тут,ADV,1280
41,там,ADV,1266
42,ці,CCONJ,1227
43,дзень,NOUN,1195
44,твой,DET,1172
45,калі,SCONJ,1172
46,песня,NOUN,1145
47,час,NOUN,1136
48,жыць,VERB,1092
49,вока,NOUN,1061
50,ужо,ADV,1055
51,сонца,NOUN,1051
52,мець,VERB,1038
53,вось,PART,986
54,ісці,VERB,973
55,гэта,PRON,959
56,гэты,DET,950
57,быць,VERB,947
58,рука,NOUN,936
59,усё,PRON,931
60,даць,VERB,906
61,без,ADP,902
62,адзін,NUM,880
63,такі,DET,879
64,год,NOUN,870
65,аб,ADP,848
66,сам,ADJ,846
67,народ,NOUN,838
68,поле,NOUN,833
69,жыццё,NOUN,830
70,ні,CCONJ,824
71,то,SCONJ,818
72,стаць,VERB,812
73,жа,PART,799
74,бо,SCONJ,798
75,хата,NOUN,792
76,край,NOUN,792
77,магчы,VERB,777
78,але,CCONJ,768
79,для,ADP,768
80,неба,NOUN,762
81,родны,ADJ,747
82,душа,NOUN,740
83,сіла,NOUN,734
84,знаць,VERB,726
85,дарога,NOUN,724
86,хоць,SCONJ,702
87,яшчэ,ADV,700
88,сябе,PRON,676
89,вецер,NOUN,670
90,кожны,ADJ,655
91,дык,PART,654
92,хацець,VERB,647
93,лес,NOUN,640
94,новы,ADJ,640
95,чуць,VERB,636
96,сказаць,VERB,635
97,няма,VERB,615
98,ні,PART,610
99,пайсці,VERB,605
100,думка,NOUN,600
101,слова,NOUN,597
102,глядзець,VERB,584
103,бачыць,VERB,579
104,які,PRON,571
105,і,PART,564
106,іх,DET,563
107,стаяць,VERB,563
108,стары,ADJ,545
109,хай,PART,544
110,ноч,NOUN,543
111,прыйсці,VERB,541
112,б,AUX,538
113,брат,NOUN,538
114,бы,PART,528
115,адзін,DET,521
116,трэба,VERB,518
117,к,ADP,509
118,праз,ADP,508
119,пра,ADP,507
120,сляза,NOUN,500
121,пан,NOUN,499
122,раз,NOUN,496
123,зноў,ADV,494
124,сын,NOUN,492
125,вялікі,ADJ,490
126,казаць,VERB,484
127,шлях,NOUN,482
128,ці,SCONJ,481
129,другі,ADJ,474
130,цяпер,ADV,473
131,цяжкі,ADJ,472
132,усе,PRON,471
133,воля,NOUN,468
134,тое,PRON,463
135,вясна,NOUN,463
136,вада,NOUN,462
137,чорны,ADJ,457
138,добры,ADJ,449
139,дзіця,NOUN,443
140,праца,NOUN,442
141,доля,NOUN,436
142,ну,PART,435
143,малады,ADJ,416
144,нага,NOUN,413
145,праўда,NOUN,411
146,хмара,NOUN,409
147,шчасце,NOUN,407
148,два,NUM,401
149,кроў,NOUN,398
150,гара,NOUN,398
151,узяць,VERB,380
152,любіць,VERB,379
153,бог,PROPN,376
154,аж,PART,376
155,пара,NOUN,374
156,дзяўчына,NOUN,373
157,яго,DET,373
158,хлеб,NOUN,373
159,няхай,PART,371
160,сон,NOUN,371
161,ведаць,VERB,370
162,які,DET,369
163,самы,ADJ,368
164,белы,ADJ,367
165,маці,NOUN,362
166,са,ADP,362
167,магіла,NOUN,354
168,мора,NOUN,354
169,дом,NOUN,351
170,век,NOUN,346
171,жывы,ADJ,345
172,ой,INTJ,342
173,між,ADP,340
174,чакаць,VERB,337
175,бы,AUX,334
176,ваш,DET,333
